"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"SA","Lower Eyre Peninsula",135.894729614258,-34.6524314880371,0.2,1.75,3.44,7.01,5.44,9.88,2.67,2.32,3.25
"SA","Yorke Peninsula",137.473663330078,-34.6524314880371,0.2,2.2,3.35,4,3.35,5.07,1.93,1.77,2.16
"SA","Yorke Peninsula",137.947372436523,-34.6524314880371,0.2,2.2,2.52,4.03,3.38,5.1,2.98,2.59,3.61
"SA","Adelaide Plains",138.421051025391,-34.6524314880371,0.2,2.41,2.83,3.66,3.11,4.56,2.58,2.28,3.04
"NSW","Kiama",150.894729614258,-34.6524314880371,0.2,1.42,2.53,444.84,178.28,1642.03,2.58,2.24,3.13
"WASouth","Manjimup",115.789474487305,-34.6091346740723,0.2,1.33,3.65,6.2,4.9,8.5,1.86,1.72,2.07
"WASouth","Albany",118.736839294434,-34.6091232299805,0.2,1.17,2.37,30.88,19.72,56.7,3.11,2.65,3.86
"SA","Lower Eyre Peninsula",135.315795898438,-34.6091232299805,0.2,1.8,3.46,5.02,4.07,6.66,1.99,1.81,2.27
"SA","Lower Eyre Peninsula",135.947372436523,-34.6091232299805,0.2,1.76,2.46,6.74,5.26,9.41,2.92,2.54,3.53
"SA","Yorke Peninsula",137.473678588867,-34.6091232299805,0.2,2.2,3.39,3.95,3.31,5,1.89,1.74,2.12
"SA","Yorke Peninsula",137.947372436523,-34.6091232299805,0.2,2.2,2.52,4.03,3.38,5.1,2.97,2.58,3.6
"SA","Adelaide Plains",138.421051025391,-34.6091346740723,0.2,2.41,2.83,3.66,3.1,4.55,2.58,2.28,3.04
"NSW","Shellharbour",150.894729614258,-34.6091346740723,0.2,1.42,2.9,457.29,182.52,1698.04,2.1,1.89,2.44
NA,"Manjimup",115.684211730957,-34.5658187866211,0.2,1.33,3.66,6.23,4.93,8.55,1.85,1.71,2.05
"WASouth","Manjimup",115.736839294434,-34.5658187866211,0.2,1.34,3.79,5.97,4.75,8.12,1.8,1.67,2
"WASouth","Albany",118.736839294434,-34.5658187866211,0.2,1.16,2.18,32.84,20.76,61.16,3.33,2.81,4.23
"WASouth","Jerramungup",119.210525512695,-34.5658187866211,0.2,1.17,2.99,29.2,18.67,53.67,2.25,2.02,2.59
"WASouth","Jerramungup",119.263160705566,-34.5658187866211,0.2,1.17,2.9,28.83,18.47,52.86,2.37,2.11,2.76
"SA","Lower Eyre Peninsula",135.315795898438,-34.5658073425293,0.2,1.81,3.47,4.81,3.92,6.37,1.97,1.79,2.24
"SA","Unincorporated SA",135.947372436523,-34.5658187866211,0.2,1.76,2.46,6.48,5.09,8.98,2.92,2.54,3.53
"SA","Yorke Peninsula",137.473678588867,-34.5658187866211,0.2,2.2,3.38,3.89,3.27,4.91,1.91,1.76,2.14
"SA","Yorke Peninsula",137.947372436523,-34.5658073425293,0.2,2.2,2.52,4.03,3.38,5.11,2.97,2.58,3.6
