"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WASouth","Albany",117.89533996582,-35.1227531433105,0.32,1.5,2.67,67.51,39.05,141.48,8.61,6.5,12.6
NA,"Mackay",150.928894042969,-20.4258937835693,0.32,4,5.45,172.38,87.44,433.29,4.39,3.58,5.84
"NSW","Unincorp. Other Territories",150.691772460938,-35.2010726928711,0.54,2.03,3.02,1044.91,441.39,3286.29,23.92,16.2,40.1
"NT","East Arnhem",136.584808349609,-12.8217754364014,0.54,2.81,3.31,332.42,149.51,1001.09,36.5,21.83,74.96
"QLDNorth","Livingstone",150.209350585938,-22.3132019042969,0.54,3.54,4.09,316.31,146.66,902.69,35.89,22.09,69.86
"QLDSouth","Redland",153.522552490234,-27.4183692932129,0.54,2.28,2.86,31201.53,8032.52,196336.48,117.78,59.82,303.47
"SA","Franklin Harbour",136.99674987793,-33.7267532348633,0.54,2.59,3.45,120.19,64.42,279.3,29.43,18.7,54.67
"TAS","George Town",146.880859375,-41.0161895751953,0.54,2.59,3.31,1605.98,619.01,5807.32,102.13,55.77,231.68
"VIC","Wellington",147.695892333984,-38.0107536315918,0.54,1.55,2.06,3853.02,1261.6,17800.14,119.62,62.47,291.86
"WANorth","Derby-West Kimberley",123.475112915039,-17.3458309173584,0.54,5.82,6.3,449.87,196.75,1398.4,33.28,19.91,68.86
"WASouth","Albany",117.89533996582,-35.1227531433105,0.54,1.72,2.89,1222.04,485.11,4258.68,37.8,23.51,71.91
NA,"Mackay",150.928894042969,-20.4258937835693,0.54,4.22,5.67,5943.71,1890.69,28155.67,12.16,8.59,19.66
"NSW","Unincorp. Other Territories",150.691772460938,-35.2010726928711,0.94,2.43,3.42,180066.06,40174.77,1323348.08,251.21,127.44,617.63
"NT","East Arnhem",136.584808349609,-12.8217754364014,0.94,3.21,3.71,24525.02,6103.13,167126.18,524.33,214.32,1834.7
"QLDNorth","Whitsunday",148.712020874023,-20.5181045532227,0.94,3.88,4.08,1717.32,619.3,6996.08,509.23,214.84,1679.79
"QLDSouth","Redland",153.522552490234,-27.4183692932129,0.94,2.68,3.26,66557198.4,6270964.99,1635846206.48,4029.19,1238.87,20927.07
"SA","Franklin Harbour",136.99674987793,-33.7267532348633,0.94,2.99,3.85,4173.59,1409.47,18112.62,360.31,163.65,1059.31
"TAS","George Town",146.880859375,-41.0161895751953,0.94,2.99,3.71,380505.19,72381.52,3565376.33,3143.25,1096.63,13081.21
"VIC","Mornington Peninsula",145.028579711914,-38.2162742614746,0.94,2.08,2.68,268227.36,53449.74,2359295.03,4205.04,1357.66,19826.5
"WANorth","Derby-West Kimberley",123.475112915039,-17.3458309173584,0.94,6.22,6.7,41527.49,9842.22,299041.21,446.51,182.54,1582.91
