"longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
145.368408203125,-38.5785293579102,0.32,2.42,4.35,39.45,22.96,84.98,4.05,3.3,5.4
126.052635192871,-32.3269386291504,0.32,1.65,3.5,31.61,20.01,58.87,3.84,3.2,4.92
144.789474487305,-38.3313064575195,0.32,1.49,3.26,48.46,27.69,106.41,4.75,3.8,6.49
143.421051025391,-12.5680675506592,0.32,2.09,2.95,1021.19,386.37,3942.84,27.3,16.94,53.43
151.894729614258,-23.4096336364746,0.32,2.86,4.23,2662.35,893.8,12042,7.62,5.62,11.78
145.052627563477,-38.4962158203125,0.32,2.41,4.17,42.73,24.63,93.15,4.83,3.83,6.73
145.105270385742,-38.0832252502441,0.32,1.54,1.87,34.07,20.22,71.42,11.48,8.2,18.29
124.157897949219,-15.3257808685303,0.32,5.47,6.56,171.8,84.82,454.36,4.44,3.49,6.32
145.368408203125,-38.5373840332031,0.32,2.42,3.57,38.3,22.37,82.1,6.96,5.19,10.62
144.684204101562,-38.000358581543,0.32,1.49,1.82,66.63,35.67,162.16,15.66,10.67,26.7
144.368423461914,-38.3313064575195,0.32,1.49,2.27,61.04,33.59,141.6,13.87,9.38,24.19
134.263153076172,-33.9133415222168,0.32,2.11,5.02,22.28,15,37.89,2.45,2.18,2.88
143.578948974609,-13.1836938858032,0.32,2.09,2.99,1045.62,399.53,3954.44,48.44,26.29,118.24
145,-38.2487106323242,0.32,1.49,1.83,47.73,27,107.11,13.22,9.26,21.63
145.473678588867,-14.6649475097656,0.32,2.15,3.04,1286.06,474.69,5118.27,32.35,19.23,67.95
115,-30.3042221069336,0.32,1.39,4.1,244.57,116.25,677.95,3.14,2.69,3.88
150.684204101562,-21.9531078338623,0.32,3.12,4.64,540.13,229.52,1750.15,4.96,3.87,7.08
143.684204101562,-13.4909391403198,0.32,2.1,3,815.42,325,2897.28,55.78,29.44,142.34
151.368423461914,-23.8435211181641,0.32,2.88,3.82,1423.7,503.15,6116.73,12.04,8.22,20.86
136.894729614258,-33.7822418212891,0.32,2.52,3.65,9.14,6.92,13.26,3.35,2.86,4.14
122.894737243652,-16.3888320922852,0.32,5.46,6.69,232.96,108.25,676.73,3.72,3.01,5.08
146.736846923828,-18.7964363098145,0.32,2.54,3.53,378.97,156.12,1342.18,9.53,6.62,16.32
144.578948974609,-38.0832252502441,0.32,1.47,1.79,90.37,46.58,231.1,17.23,11.58,29.87
136.526321411133,-15.528697013855,0.32,2.06,3.32,19.07,12.13,36.6,3.13,2.61,4.1
144.684204101562,-38.2900199890137,0.32,1.44,2.7,53.89,30.56,119.08,8.58,6.23,13.55
144.736831665039,-38.2900199890137,0.32,1.44,3.22,57.15,31.87,129.93,4.73,3.79,6.45
145,-38.000358581543,0.32,1.51,1.84,41.46,23.78,91.63,13.15,9.18,21.65
144.947357177734,-37.8758659362793,0.32,1.51,1.82,43.25,24.61,96.72,14.4,9.87,24.36
135.736846923828,-14.3082876205444,0.32,2.19,3.16,10.62,7.32,18.3,3.68,2.99,4.98
143.263153076172,-9.72852039337158,0.32,2.4,3,1039.99,387.37,4133.64,51.73,29.18,115.88
137.842102050781,-32.7262115478516,0.32,3.17,4.27,6.12,4.82,8.45,3.23,2.75,4.02
115.526313781738,-20.3828601837158,0.32,1.91,3.81,5975.9,1648.02,37271.68,3.05,2.55,3.96
145.526321411133,-16.3888320922852,0.32,2.18,2.9,2477.81,774.23,12983.86,42.09,23.92,94.59
135.157897949219,-12.2082605361938,0.32,2.43,3.18,222.55,102.11,664.97,8.6,6.22,13.65
144.736846923828,-40.4455947875977,0.32,2.29,4.4,459.19,184.4,1683.24,5.99,4.66,8.5
144.157897949219,-40.0842666625977,0.32,1.92,3.21,348.92,149.21,1154.63,10.62,7.54,17.22
145.789474487305,-15.6807527542114,0.32,2.13,3.38,1364.27,492.39,5644.65,13.07,8.92,22.49
150.368408203125,-20.5307750701904,0.32,3.97,5.31,286.82,129.72,864.03,6.7,5.05,9.99
145.263153076172,-38.5373840332031,0.32,2.42,3.87,41.61,24,90.86,5.58,4.31,8.05
141.368408203125,-14.5121669769287,0.32,2.26,3.82,45.93,25.01,111.91,3.21,2.72,4.05
121.947364807129,-18.3974285125732,0.32,5.49,6.37,125.06,64.8,308.66,5.72,4.32,8.66
144.842086791992,-37.9173851013184,0.32,1.5,1.81,47.72,26.77,108.84,14.76,10.1,25.04
116,-34.8685684204102,0.32,1.58,4.42,32.08,20.67,57.78,2.82,2.48,3.36
149.947372436523,-16.2878265380859,0.32,2.17,4.2,1060.39,401.29,4080.92,3.31,2.72,4.41
