"state","lga","longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WASouth","Dandaragan",115,-30.3042221069336,0.09,1.16,3.87,4.7,3.81,6.26,1.38,1.32,1.46
"QLDNorth","Livingstone",150.684204101562,-21.9531078338623,0.09,2.89,4.41,5.87,4.61,8.17,1.57,1.46,1.73
"QLDNorth","Cook",143.684204101562,-13.4909391403198,0.09,1.87,2.77,6.59,5.09,9.41,3.1,2.59,4.03
"QLDNorth","Gladstone",151.368423461914,-23.8435211181641,0.09,2.65,3.59,7.71,5.75,11.61,2.01,1.81,2.35
"SA","Franklin Harbour",136.894729614258,-33.7822418212891,0.09,2.29,3.42,1.86,1.72,2.07,1.4,1.34,1.49
"WANorth","Broome",122.894737243652,-16.3888320922852,0.09,5.23,6.46,4.63,3.73,6.25,1.45,1.36,1.58
"QLDNorth","Palm Island",146.736846923828,-18.7964363098145,0.09,2.31,3.3,5.31,4.14,7.58,1.89,1.7,2.19
"VIC","Greater Geelong",144.578948974609,-38.0832252502441,0.09,1.24,1.56,3.55,2.95,4.62,2.23,1.99,2.6
"NT","Roper Gulf",136.526321411133,-15.528697013855,0.09,1.83,3.09,2.29,2.02,2.75,1.38,1.31,1.49
"VIC","Mornington Peninsula",144.684204101562,-38.2900199890137,0.09,1.21,2.47,3.07,2.62,3.84,1.83,1.67,2.08
"VIC","Mornington Peninsula",144.736831665039,-38.2900199890137,0.09,1.21,2.99,3.12,2.65,3.93,1.55,1.45,1.69
"VIC","Bayside (Vic.)",145,-38.000358581543,0.09,1.28,1.61,2.85,2.44,3.56,2.06,1.87,2.37
"VIC","Port Phillip",144.947357177734,-37.8758659362793,0.09,1.28,1.59,2.88,2.46,3.62,2.12,1.9,2.45
"NT","Roper Gulf",135.736846923828,-14.3082876205444,0.09,1.96,2.93,1.94,1.75,2.26,1.44,1.36,1.57
"QLDNorth","Torres",143.263153076172,-9.72852039337158,0.09,2.17,2.77,7.06,5.34,10.4,3.03,2.58,3.81
"SA","Port Augusta",137.842102050781,-32.7262115478516,0.09,2.94,4.04,1.66,1.56,1.82,1.39,1.33,1.48
"WANorth","Karratha",115.526313781738,-20.3828601837158,0.09,1.68,3.58,11.54,8.03,19.31,1.37,1.3,1.47
"QLDNorth","Douglas",145.526321411133,-16.3888320922852,0.09,1.95,2.67,9.01,6.49,14.35,2.86,2.44,3.6
"NT","East Arnhem",135.157897949219,-12.2082605361938,0.09,2.2,2.95,4.57,3.67,6.22,1.83,1.67,2.09
"TAS","Circular Head",144.736846923828,-40.4455947875977,0.09,2.06,4.17,5.61,4.34,8.08,1.65,1.54,1.83
NA,"King Island",144.157897949219,-40.0842666625977,0.09,1.69,2.98,5.19,4.09,7.27,1.94,1.76,2.23
NA,"Cook",145.789474487305,-15.6807527542114,0.09,1.9,3.15,7.62,5.72,11.35,2.06,1.85,2.4
NA,"Mackay",150.368408203125,-20.5307750701904,0.09,3.74,5.08,4.91,3.93,6.7,1.71,1.58,1.91
"VIC","Bass Coast",145.263153076172,-38.5373840332031,0.09,2.19,3.64,2.85,2.44,3.55,1.62,1.51,1.8
NA,"Pormpuraaw",141.368408203125,-14.5121669769287,0.09,2.03,3.59,2.93,2.47,3.77,1.39,1.33,1.48
"WANorth","Broome",121.947364807129,-18.3974285125732,0.09,5.26,6.14,3.89,3.23,5.01,1.63,1.51,1.84
"VIC","Wyndham",144.842086791992,-37.9173851013184,0.09,1.27,1.58,2.97,2.52,3.74,2.13,1.92,2.47
"WASouth","Manjimup",116,-34.8685684204102,0.09,1.35,4.19,2.65,2.34,3.13,1.34,1.29,1.41
NA,"Whitsunday",149.947372436523,-16.2878265380859,0.09,1.94,3.97,7.09,5.4,10.36,1.4,1.33,1.52
NA,"Whitsunday",148.684204101562,-19.4428100585938,0.09,2.26,3.63,4.18,3.38,5.67,1.61,1.49,1.79
"SA","Yankalilla",138.210525512695,-35.4707260131836,0.09,1.94,3.03,1.87,1.72,2.08,1.43,1.36,1.52
"VIC","Mornington Peninsula",144.842086791992,-38.3313064575195,0.09,1.27,3.01,2.89,2.48,3.59,1.57,1.47,1.73
"WANorth","Exmouth",114.157897949219,-21.8066101074219,0.09,1.67,3.18,11.47,7.9,19.6,1.46,1.37,1.59
NA,"Torres",142.526321411133,-9.62476348876953,0.09,2.25,2.86,4.28,3.46,5.78,2.43,2.16,2.86
