"state","lga","longitude","latitude","SWL_pc5","SWLpc50","SWLpc95","MTWL_pc5","MTWLpc50","MTWLpc95"
"SA","Kangaroo Island",138.052627563477,-35.8981170654297,1.3571768125624,1.41215360585494,1.46869147363612,2.78329536250004,2.89178406162243,3.00335331401763
"SA","Kangaroo Island",138.105255126953,-35.8981170654297,1.35890782188475,1.41443248983106,1.47153378925094,2.15673001626941,2.23527978583046,2.31605998816153
"SA","Coorong",139.368408203125,-35.8981170654297,1.42618845034831,1.50300783378149,1.58200851540484,3.14413890148532,3.29159306440617,3.44323421092857
"SA","Kangaroo Island",136.526321411133,-35.8554801940918,1.50112148326394,1.55832467703997,1.61715216428829,3.8194654395899,3.99897542068339,4.18358261525842
"SA","Kangaroo Island",138.157897949219,-35.8554801940918,1.36385127574431,1.4209405759758,1.4796509356549,2.16417230481098,2.24401986257342,2.32613470400117
"SA","Coorong",139.315780639648,-35.8554801940918,1.42391910051124,1.50002022134455,1.57828224519121,3.07322906986099,3.21291049610005,3.35655819788885
"SA","Kangaroo Island",136.526321411133,-35.8128242492676,1.50180973731998,1.55923076756159,1.61828227677538,3.75478109784191,3.94302086940965,4.13660573820013
"SA","Kangaroo Island",138.157897949219,-35.8128242492676,1.36831234431952,1.42681359905033,1.4869760058936,1.77620436745204,1.84325956963248,1.91221881457689
"SA","Coorong",139.263153076172,-35.8128242492676,1.41974737701298,1.49452812276933,1.57143227928594,2.9709674483408,3.10395103850824,3.24071071814155
"SA","Kangaroo Island",136.526321411133,-35.7701416015625,1.50086455100456,1.55798642420604,1.6167302817696,3.75780715051437,3.94750646769044,4.14259232611095
"SA","Kangaroo Island",138.105270385742,-35.7701301574707,1.38001934651169,1.44222593644195,1.5061988920467,1.77860760010668,1.8463209446232,1.91595701995639
"SA","Coorong",139.210525512695,-35.7701416015625,1.41672383046573,1.49054760591792,1.56646761881162,2.97140053238319,3.10506964541724,3.24253431344422
"SA","Kangaroo Island",136.57893371582,-35.7274398803711,1.50273713939553,1.56045169786051,1.61980507007667,3.42325203152666,3.60513446535104,3.7921814788166
"SA","Kangaroo Island",136.631576538086,-35.7274398803711,1.85710841239364,1.9153252650794,1.97519519423787,3.78117403465027,3.96436850416385,4.1527648087735
"SA","Kangaroo Island",138.105270385742,-35.7274398803711,1.40010646064919,1.46867074060521,1.5391819138204,1.82739318375282,1.90804076724914,1.99097835126436
"SA","Yankalilla",138.157897949219,-35.7274398803711,1.39218485319372,1.45824189769706,1.52617464212383,1.82773034646171,1.90730283283214,1.98913479217346
"SA","Yankalilla",138.210510253906,-35.7274398803711,1.38311803281164,1.44630537522068,1.51128693192148,1.82264720293926,1.90104140062559,1.98166161359467
"SA","Coorong",139.157897949219,-35.7274398803711,1.41441842537429,1.48751252652608,1.56268214590557,2.86771682156365,2.99304080966963,3.12192339166462
"SA","Kangaroo Island",136.684204101562,-35.6847114562988,1.85901478815322,1.91783502000381,1.97832546137116,3.78687656334234,3.96809248422658,4.15445405901471
"SA","Kangaroo Island",136.736846923828,-35.684700012207,1.86151106176786,1.9211213789315,1.98242434020569,3.59906611226803,3.7817463304657,3.96961378151435
"SA","Kangaroo Island",136.789474487305,-35.6847114562988,1.86434409405178,1.92485108263226,1.9870761764459,3.47294671168575,3.6586813480247,3.84968994788684
"SA","Kangaroo Island",137.631576538086,-35.6847114562988,1.90522227812316,1.97866745291413,2.05419811472269,2.71851351863391,2.85894565731814,3.00336538814728
"SA","Kangaroo Island",137.684204101562,-35.6847114562988,1.90778873612471,1.98204621000087,2.05841223625189,2.67943274684195,2.81362740984165,2.95163255090628
"SA","Kangaroo Island",137.736846923828,-35.684700012207,1.91015487439225,1.98516124497702,2.06229743297371,2.61106652686099,2.73667696946345,2.86585413987433
"SA","Kangaroo Island",137.789474487305,-35.6847114562988,1.91264260518001,1.98843635722276,2.06638228449485,2.61574480938729,2.74241624207002,2.87268452953745
"SA","Kangaroo Island",137.842102050781,-35.684700012207,1.42561368090933,1.50225114642715,1.58106474454801,2.11271425104668,2.23744713700006,2.36572183240605
"SA","Kangaroo Island",137.894729614258,-35.6847114562988,1.42829254536736,1.50577788727641,1.58546343736885,2.03324742993023,2.14842685661498,2.26687682080921
"SA","Kangaroo Island",138,-35.6847114562988,1.43261630488564,1.51147014216815,1.59256304627034,1.96778841025534,2.07598467147905,2.18725318215654
"SA","Kangaroo Island",138.052627563477,-35.6847114562988,1.43108857662579,1.50945887890904,1.59005451796139,1.96613377449061,2.0727575316792,2.18240888682798
"SA","Yankalilla",138.105270385742,-35.6847114562988,1.4239516541228,1.50006307836606,1.57833569818957,1.95586216519934,2.05698347126673,2.16097613234969
"SA","Yankalilla",138.263153076172,-35.6847114562988,1.38135909270789,1.44398972020622,1.50839875399092,2.45402594085137,2.55125452070506,2.65124392101566
"SA","Yankalilla",138.315795898438,-35.6847114562988,1.38218970883917,1.44508323123903,1.50976262486636,2.60670265762048,2.71180580867423,2.81989337984346
"SA","Yankalilla",138.368423461914,-35.6847114562988,1.38286149496032,1.44596764162729,1.51086569702045,2.60881086958968,2.71420828445614,2.82259847510423
"SA","Yankalilla",138.421051025391,-35.6847114562988,1.38379373631896,1.44719494287093,1.51239643641983,2.49392456342425,2.59275742020444,2.69439665113125
"SA","Victor Harbor",138.473678588867,-35.6847114562988,1.38434992328182,1.44792716628592,1.51330969486905,2.4935079764171,2.59219788947296,2.69369011776641
"SA","Victor Harbor",138.526321411133,-35.6847114562988,1.38408065826516,1.44757267730434,1.51286756197497,2.56054441342837,2.66225034287418,2.76684422780616
"SA","Coorong",139.105270385742,-35.6847114562988,1.40949294036536,1.48102809647911,1.55459450433677,2.86354119736349,2.98732729688568,3.11462832171436
"SA","Kangaroo Island",136.842086791992,-35.6419639587402,1.86756626258769,1.9290930865025,1.9923669740314,3.36475543560337,3.54869826518093,3.73786417965351
