"state","longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WASouth",115.684211730957,-32.3269386291504,0.54,1.55,4.67,379.47,175.81,1071.91,3.81,3.2,4.82
"WASouth",115.736831665039,-31.9705352783203,0.54,1.72,4.63,724.74,306.29,2326.56,3.82,3.2,4.86
"WANorth",114.105262756348,-22.0994510650635,0.54,2.23,3.47,6909.25,1745.99,50898.18,22.36,13.52,47.06
"WANorth",115.526313781738,-20.826171875,0.54,2.18,3.42,78359.88,15911.01,723958.72,11.81,7.79,22.16
"SA",137.947372436523,-35.684700012207,0.54,2.37,3.18,45.33,28.11,85.76,13.05,9.23,20.94
"SA",136.578948974609,-33.9569969177246,0.54,2.68,3.72,59.13,35.48,116.9,9.35,6.98,13.87
"SA",136.052627563477,-34.8685684204102,0.54,2.32,3.05,232.43,115.07,599.56,30,19.27,54.58
"SA",137.789474487305,-32.9914245605469,0.54,3.4,4.47,20.83,13.99,35.71,7.4,5.61,10.88
"SA",137.368423461914,-34.9117164611816,0.54,2.83,4.41,57.32,34.03,115.69,6.16,4.86,8.49
"QLDNorth",149.894729614258,-21.0227813720703,0.54,4.32,5.48,65043.94,13296.68,601870.2,31.08,18.27,67.05
"VIC",148,-37.9173889160156,0.54,1.55,2.99,4217.09,1343.08,20399.19,10.97,7.66,18.32
NA,150.315780639648,-20.0866088867188,0.54,4.15,5.51,75015.45,15895.42,640481.86,19.36,12.13,38.34
"NSW",153.631576538086,-28.8398017883301,0.54,1.87,3.56,31349939.18,2757519.58,924512591.14,15.16,10.09,27.08
"NT",130.526321411133,-12.6194276809692,0.54,4.45,5.64,126693.15,24656.26,1224904.51,12.61,8.72,21.23
"SA",138.052627563477,-35.5991897583008,0.54,2.39,3.25,41.58,25.95,78.15,11.62,8.34,18.28
"NSW",152.210525512695,-32.7262115478516,0.54,1.9,3.67,1578239.14,193817.92,30762389.09,11.07,7.75,18.36
"QLDNorth",144.842102050781,-14.5121669769287,0.54,2.37,3.19,163051.62,31293.3,1589315.26,236.57,111.08,672.72
"QLDNorth",152.473678588867,-22.001895904541,0.54,3.32,5.04,174776.13,34091.45,1644107.2,12.54,8.59,21.54
"VIC",145.368408203125,-38.5785293579102,0.54,2.64,4.57,493.49,197.94,1801.81,10.57,7.49,17.2
NA,126.052635192871,-32.3269386291504,0.54,1.87,3.72,339.54,156.96,969.8,9.68,7.13,14.71
"VIC",144.789474487305,-38.3313064575195,0.54,1.71,3.48,698.26,271.52,2633.46,13.85,9.5,23.49
"QLDNorth",143.421051025391,-12.5680675506592,0.54,2.31,3.17,119636.73,23204.06,1169307.64,265.22,118.48,823.5
"QLDNorth",151.894729614258,-23.4096336364746,0.54,3.08,4.45,602745.99,95547.84,7694476.79,30.78,18.4,64.23
"VIC",145.052627563477,-38.4962158203125,0.54,2.63,4.39,564.72,222.96,2103.62,14.27,9.63,24.96
"VIC",145.105270385742,-38.0832252502441,0.54,1.76,2.09,385.34,159.84,1343.88,61.49,34.82,134.87
"WANorth",124.157897949219,-15.3257808685303,0.54,5.69,6.78,5910.22,1796.18,30504.11,12.36,8.24,22.44
"VIC",145.368408203125,-38.5373840332031,0.54,2.64,3.79,469.53,189.53,1700.06,26.44,16.1,53.86
"VIC",144.684204101562,-38.000358581543,0.54,1.71,2.04,1195.24,416.47,5361.62,103.86,54.3,255.46
"VIC",144.368423461914,-38.3313064575195,0.54,1.71,2.49,1030.79,376.33,4264.98,84.54,43.7,216.19
"SA",134.263153076172,-33.9133415222168,0.54,2.33,5.24,188.17,96.51,461.09,4.54,3.71,5.96
"QLDNorth",143.578948974609,-13.1836938858032,0.54,2.31,3.21,124506.07,24553.47,1175116.47,697.95,248.83,3146.02
"VIC",145,-38.2487106323242,0.54,1.71,2.05,680.79,260.22,2662.73,78.03,42.77,179.05
"QLDNorth",145.473678588867,-14.6649475097656,0.54,2.37,3.26,176553.37,32843.33,1816122.69,353.14,146.82,1235.47
"WASouth",115,-30.3042221069336,0.54,1.61,4.32,10725.98,3057.32,59930.34,6.89,5.31,9.86
"QLDNorth",150.684204101562,-21.9531078338623,0.54,3.34,4.86,40840.37,9635.69,296953.24,14.9,9.82,27.22
"QLDNorth",143.684204101562,-13.4909391403198,0.54,2.32,3.22,81838.15,17330.05,695198.47,885.41,301.14,4302.88
"QLDNorth",151.368423461914,-23.8435211181641,0.54,3.1,4.04,209600.2,36233.74,2453300.82,66.61,35,168.41
"SA",136.894729614258,-33.7822418212891,0.54,2.74,3.87,41.88,26.19,78.4,7.67,5.88,11.01
"WANorth",122.894737243652,-16.3888320922852,0.54,5.68,6.91,9881.01,2710.6,59748.82,9.19,6.43,15.55
"QLDNorth",146.736846923828,-18.7964363098145,0.54,2.76,3.75,22458.82,5028.64,189749.49,44.89,24.28,111.26
"VIC",144.578948974609,-38.0832252502441,0.54,1.69,2.01,1998.77,653.3,9748.1,121.92,62.39,308.71
"NT",136.526321411133,-15.528697013855,0.54,2.28,3.54,144.72,67.49,434.84,6.86,5.03,10.83
"VIC",144.684204101562,-38.2900199890137,0.54,1.66,2.92,835.41,320.75,3184.18,37.62,21.9,81.32
"VIC",144.736831665039,-38.2900199890137,0.54,1.66,3.44,922.49,344.24,3688.81,13.77,9.48,23.22
"VIC",145,-38.000358581543,0.54,1.73,2.06,536.8,210.01,2045.99,77.28,42.12,179.33
"VIC",144.947357177734,-37.8758659362793,0.54,1.73,2.04,576.38,222.57,2241.45,90.09,47.67,218.8
"NT",135.736846923828,-14.3082876205444,0.54,2.41,3.38,53.9,28.75,134.98,9.02,6.36,15.01
"QLDNorth",143.263153076172,-9.72852039337158,0.54,2.62,3.22,123377.33,23305.25,1266374.15,779.81,296.78,3041.08
"SA",137.842102050781,-32.7262115478516,0.54,3.39,4.49,21.26,14.23,36.62,7.22,5.51,10.47
"WANorth",115.526313781738,-20.3828601837158,0.54,2.13,4.03,2358740.04,268303.5,51784764.51,6.56,4.85,10.22
"QLDNorth",145.526321411133,-16.3888320922852,0.54,2.4,3.12,533935.97,74984.71,8737134.54,550.6,212.2,2158.79
"NT",135.157897949219,-12.2082605361938,0.54,2.65,3.4,9146.8,2456.47,58007.1,37.73,21.86,82.35
"TAS",144.736846923828,-40.4455947875977,0.54,2.51,4.62,31053.07,6660.22,278049.19,20.5,13.41,36.99
NA,144.157897949219,-40.0842666625977,0.54,2.14,3.43,19536.34,4659.12,147187.13,53.9,30.21,121.86
NA,145.789474487305,-15.6807527542114,0.54,2.35,3.6,195049.41,34935.8,2142333.75,76.48,40.16,191.25
NA,150.368408203125,-20.5307750701904,0.54,4.19,5.53,14035.41,3678.74,90239,24.75,15.39,48.63
"VIC",145.263153076172,-38.5373840332031,0.54,2.64,4.09,540.07,213.36,2017.21,18.18,11.79,33.74
NA,141.368408203125,-14.5121669769287,0.54,2.48,4.04,638,228.79,2867.42,7.17,5.42,10.61
"WANorth",121.947364807129,-18.3974285125732,0.54,5.71,6.59,3458.32,1140.34,15885.54,18.98,11.82,38.18
"VIC",144.842086791992,-37.9173851013184,0.54,1.72,2.03,680.52,256.62,2735.76,93.97,49.53,229.26
"WASouth",116,-34.8685684204102,0.54,1.8,4.64,348.14,165.86,939.82,5.76,4.63,7.72
NA,149.947372436523,-16.2878265380859,0.54,2.39,4.42,127488.9,24735.9,1239234.4,7.53,5.42,12.25
NA,148.684204101562,-19.4428100585938,0.54,2.71,4.08,5328.43,1478.52,33161.58,17.23,10.98,33.33
"SA",138.210525512695,-35.4707260131836,0.54,2.39,3.48,42.34,26.33,79.98,8.43,6.35,12.39
"VIC",144.842086791992,-38.3313064575195,0.54,1.72,3.46,579.01,230.05,2125.44,15.1,10.17,26.37
"WANorth",114.157897949219,-21.8066101074219,0.54,2.12,3.63,2273851.92,243597.49,56624713.14,9.55,6.62,16.41
NA,142.526321411133,-9.62476348876953,0.54,2.7,3.31,6162.8,1723.68,37266.12,207.38,102.19,543.44
"WANorth",128.789474487305,-14.766752243042,0.54,4.5,5.75,14544396.94,1019711.81,734177316.25,18.22,11.67,34.69
"WASouth",116.736839294434,-35.041072845459,0.54,1.81,4.48,286.94,142.1,730.84,5.72,4.59,7.68
NA,140.210525512695,-15.3765287399292,0.54,3.42,4.97,325.93,130.69,1239.56,7.3,5.46,10.98
"QLDNorth",139.157897949219,-16.7419166564941,0.54,3.54,4.58,85.56,42.82,233.75,10.57,7.38,17.74
"QLDNorth",142.157897949219,-10.2468156814575,0.54,2.81,3.33,604.27,231.72,2373.31,43.94,25.37,95.31
"WANorth",116.947364807129,-20.6785373687744,0.54,4.33,5.69,583.85,218.92,2409.47,6.18,4.6,9.54
"QLDNorth",145.947357177734,-16.7419147491455,0.54,2.42,3.16,154812.4,28313.31,1662464.68,463.28,182.59,1763.23
"WASouth",115.684211730957,-32.2379684448242,0.54,1.74,4.89,515.03,226.7,1567.71,3.76,3.16,4.75
NA,148.473678588867,-17.7470703125,0.54,2.71,4.63,123071.2,24077.76,1180465.48,8,5.69,13.28
"NT",135.684204101562,-11.8994636535645,0.54,2.63,3.67,17391.24,4063.38,137911.85,24.14,15.07,47.18
NA,126.842102050781,-10.1432237625122,0.54,4.39,5.15,9772087.73,1077041.54,203833156.62,506.25,211.53,1701.95
"QLDNorth",142.105255126953,-10.9709968566895,0.54,2.8,4.56,265.37,116.72,849.87,6.1,4.7,8.79
"WASouth",115,-34.2619590759277,0.54,1.89,4.89,219.38,112.78,530.73,5.09,4.14,6.74
"QLDNorth",143.052627563477,-10.0914154052734,0.54,2.58,3.31,1798948.69,223312.78,33940796.26,995.89,369.93,3993.38
"WANorth",119.789474487305,-19.9382705688477,0.54,4.25,5.35,2805.37,962.18,12140.53,10.16,6.98,17.74
"WANorth",122.210525512695,-17.0943374633789,0.54,5.73,6.78,2458.94,829.56,11083.22,12.25,8.12,22.56
"QLDNorth",146.631576538086,-18.2475681304932,0.54,2.74,3.92,76361,14203.92,841764.41,39.36,21.64,95.6
"SA",137.57893371582,-33.2998161315918,0.54,3.37,4.44,22.79,15.06,40.03,7.65,5.77,11.29
"SA",137.789474487305,-34.9979820251465,0.54,2.86,3.29,46.99,29.11,88.89,20.2,13.66,34.32
"WANorth",123.315788269043,-17.0943374633789,0.54,5.7,6.04,4824.26,1276.23,33476.55,139.94,62,471.2
"QLDNorth",142.684204101562,-10.9193267822266,0.54,2.61,3.38,237924.03,39448.7,2992780.21,442.57,184.91,1503.77
"QLDNorth",139.578948974609,-17.0943374633789,0.54,3.64,4.78,45.64,25.29,107.27,7.13,5.29,10.96
"WANorth",123.157897949219,-16.3888320922852,0.54,5.64,6.47,41100.31,8985.97,345850.17,21.05,12.86,43.61
"WANorth",116.052635192871,-20.826171875,0.54,2.21,3.66,21366.08,5288.15,148633.56,7.13,5.17,11.48
"QLDSouth",153.526321411133,-28.146110534668,0.54,1.83,3.66,5017014.95,587707.92,97784632.93,9.4,6.63,15.57
"QLDNorth",142.736846923828,-10.9193229675293,0.54,2.6,3.37,409973.86,61974.82,5920271.84,500.64,205.98,1735.91
"WANorth",113.473670959473,-25.2792816162109,0.54,1.73,3.08,2762498.28,319967.57,57698169.49,53.24,29.83,120.62
"SA",133.315780639648,-32.5046195983887,0.54,2.78,4.5,65.85,39.02,132.31,7.07,5.5,9.92
"QLDNorth",146.842102050781,-18.4473552703857,0.54,2.75,4.02,53690.98,10481.88,553866.2,30.34,17.35,69.61
"WANorth",127.842102050781,-14.3592748641968,0.54,4.47,5.4,874069973.82,37071085.67,83573943133.97,31.26,17.86,71.71
"WANorth",125.894737243652,-14.5121669769287,0.54,4.72,4.85,692.17,275.07,2503.49,220.82,96.54,728.2
"NT",136.789474487305,-13.7466697692871,0.54,2.15,3.16,985.47,348.69,4360.69,17.17,11.41,30.48
NA,143.842102050781,-12.6194276809692,0.54,2.3,3.62,204514.12,37544.19,2134499.63,66.62,35,168.56
"QLDNorth",143.842102050781,-13.8999681472778,0.54,2.38,3.29,107158.07,19319.17,1220820.03,135.53,71.11,325.04
