NCRA,central,lga,LGA,longitude,latitude,SLR,SWL_AEPPC,MTWL_AEPPC,SWL_MFSLR_50,SWL_MFSLR_10,SWL_MFSLR_90,MTWL_MFSLR_50,MTWL_MFSLR_10,MTWL_MFSLR_90
SA,SA,Unincorporated SA,Unincorporated_SA,131.3684235,-31.56792068,0.06,1.99,3.75,1.62,1.53,1.77,1.21,1.18,1.26
NSW,NSW,Port Macquarie-Hastings,Port_Macquarie-Hastings,152.8947296,-31.56792068,0.06,1.25,2.41,6.25,4.73,9.3,1.34,1.29,1.42
NA,NA,Wanneroo,Wanneroo,115.5263138,-31.52307701,0.06,1.03,3.3,2.22,2,2.55,1.21,1.18,1.25
SA,SA,Unincorporated SA,Unincorporated_SA,131.1052704,-31.52307701,0.06,1.98,3.41,1.64,1.54,1.79,1.26,1.22,1.31
SA,SA,Unincorporated SA,Unincorporated_SA,131.2631531,-31.52307701,0.06,1.98,3.54,1.64,1.54,1.79,1.24,1.2,1.28
SA,SA,Unincorporated SA,Unincorporated_SA,131.3157806,-31.52307701,0.06,1.99,3.52,1.63,1.53,1.78,1.24,1.2,1.28
NSW,NSW,Port Macquarie-Hastings,Port_Macquarie-Hastings,152.9473724,-31.52307701,0.06,1.24,2.57,6.43,4.85,9.62,1.31,1.26,1.38
WASouth,WA,Wanneroo,Wanneroo,115.5263138,-31.47821236,0.06,1.04,3.23,2.19,1.98,2.51,1.22,1.19,1.27
SA,SA,Unincorporated SA,Unincorporated_SA,131.1578979,-31.47821236,0.06,1.98,3.42,1.64,1.54,1.78,1.25,1.22,1.3
SA,SA,Unincorporated SA,Unincorporated_SA,131.2105255,-31.47821236,0.06,1.99,3.51,1.63,1.53,1.77,1.24,1.2,1.29
NSW,NSW,Port Macquarie-Hastings,Port_Macquarie-Hastings,152.9473724,-31.47820091,0.06,1.24,2.37,6.43,4.85,9.63,1.35,1.29,1.43
WASouth,WA,Gingin,Gingin,115.473671,-31.43332672,0.06,1.03,3.22,2.23,2.01,2.56,1.23,1.19,1.27
NSW,NSW,Port Macquarie-Hastings,Port_Macquarie-Hastings,152.9473724,-31.43332672,0.06,1.24,2.37,6.42,4.85,9.6,1.35,1.29,1.43
WASouth,WA,Gingin,Gingin,115.4736862,-31.3884182,0.06,1.03,3.28,2.22,2,2.54,1.22,1.19,1.26
NSW,NSW,Port Macquarie-Hastings,Port_Macquarie-Hastings,152.9473724,-31.38840675,0.06,1.24,2.62,6.4,4.84,9.58,1.29,1.25,1.36
NA,NA,Gingin,Gingin,115.421051,-31.34348869,0.06,1.02,3.26,2.31,2.07,2.67,1.22,1.19,1.27
NSW,NSW,Port Macquarie-Hastings,Port_Macquarie-Hastings,152.9473724,-31.34348869,0.06,1.24,2.51,6.37,4.82,9.5,1.32,1.27,1.39
WASouth,WA,Gingin,Gingin,115.421051,-31.29853821,0.06,1.02,3.26,2.34,2.1,2.72,1.25,1.21,1.3
NSW,NSW,Port Macquarie-Hastings,Port_Macquarie-Hastings,153,-31.29853821,0.06,1.24,2.37,6.58,4.96,9.88,1.35,1.29,1.44
